product_id,region,units_sold,price_per_unit
P1003,East,64,104.07
P1020,West,72,87.9
P1012,West,21,56.76
P1007,South,18,320.03
P1011,North,64,354.71
P1001,North,82,20.64
P1006,North,110,468.43
P1015,North,95,30.73
P1015,West,166,272.94
P1019,East,32,355.98
P1011,East,11,436.13
P1002,South,45,358.47
P1014,South,33,401.86
P1002,West,102,173.03
P1004,East,169,408.34
P1017,East,136,44.66
P1003,North,11,447.93
P1013,West,179,276.06
P1009,West,88,409.56
P1007,North,41,228.9
P1015,West,145,323.57
P1011,West,76,265.57
P1020,South,121,367.14
P1002,East,46,45.41
P1015,West,160,34.87
P1014,South,80,127.32
P1020,East,54,83.97
P1011,North,86,436.53
P1003,South,92,113.51
P1017,South,148,488.05
P1012,East,161,171.76
P1015,North,168,95.15
P1016,South,160,395.9
P1005,West,97,331.06
P1020,West,2,251.61
P1006,West,33,279.9
P1019,North,158,361.0
P1005,South,161,118.09
P1003,West,77,498.19
P1001,North,116,487.52
P1006,West,154,326.91
P1015,East,150,103.77
P1002,South,103,341.71
P1003,South,194,40.74
P1017,North,166,20.17
P1012,North,103,132.55
P1018,South,90,234.0
P1015,West,174,434.79
P1012,West,122,364.95
P1016,East,143,372.64
