product_id,region,units_sold,price_per_unit,discount_percent
P1011,North,172,346.0,23.2
P1002,West,32,437.29,22.46
P1008,South,179,319.96,22.43
P1008,West,174,381.76,24.14
P1017,South,113,84.24,27.06
P1015,North,120,233.47,32.2
P1017,North,149,9.62,10.79
P1013,North,122,127.11,33.0
P1019,South,32,364.6,19.93
P1005,East,119,495.95,3.08
P1012,South,39,54.09,2.34
P1001,East,12,203.74,13.37
P1005,South,175,401.04,31.4
P1008,South,18,106.0,28.31
P1013,North,149,279.77,31.54
P1008,West,141,367.87,20.69
P1011,West,149,309.91,17.61
P1001,East,126,98.07,5.9
P1013,West,136,180.92,13.13
P1019,South,46,392.98,17.36
P1003,South,104,279.34,3.54
P1017,North,135,7.59,8.82
P1005,North,151,381.69,23.93
P1020,West,86,22.48,29.43
P1008,East,150,374.14,39.93
P1014,West,89,105.23,37.32
P1004,West,22,479.25,25.7
P1011,West,92,187.13,16.85
P1020,West,29,166.83,25.45
P1015,South,13,78.7,31.43
P1019,East,2,156.27,4.73
P1007,South,29,438.94,16.4
P1019,East,180,498.19,33.59
P1019,North,27,187.31,15.35
P1011,West,50,227.06,22.87
P1005,South,95,362.43,23.51
P1005,East,151,443.67,7.38
P1008,North,88,298.56,14.49
P1010,North,44,198.81,13.38
P1006,West,22,209.25,1.05
P1015,East,171,349.33,0.97
P1016,South,165,6.59,33.27
P1017,West,189,311.7,10.92
P1008,South,97,180.97,20.72
P1008,North,184,398.13,11.95
P1009,South,3,51.03,37.63
P1002,South,191,296.16,10.37
P1015,West,118,243.08,17.19
P1018,South,19,322.95,34.91
P1003,West,23,37.1,33.68
P1011,North,172,346.0,23.2
P1002,West,32,437.29,22.46
P1008,South,179,319.96,22.43
P1008,West,174,381.76,24.14
P1017,South,113,84.24,27.06
