product_id,region,units_sold,price_per_unit,discount_percent
P1018,East,57,70.71,37.76
P1014,North,36,484.92,37.77
P1018,North,173,358.72,34.69
P1002,West,20,25.33,25.46
P1003,East,65,202.42,32.04
P1016,North,8,219.59,27.09
P1009,West,144,373.3,22.93
P1004,East,142,129.18,5.14
P1001,West,115,96.25,32.45
P1004,South,143,45.03,32.83
P1001,North,92,217.02,25.04
P1014,South,98,345.81,32.82
P1016,East,66,33.81,26.06
P1020,South,32,458.03,8.27
P1008,South,191,223.96,10.96
P1007,East,86,123.69,8.58
P1003,West,51,51.47,15.09
P1017,South,153,95.52,1.56
P1001,West,186,467.63,24.73
P1016,South,63,320.94,13.46
P1012,West,190,260.76,26.23
P1019,East,125,330.27,15.42
P1014,South,150,220.66,27.26
P1006,East,58,366.37,13.62
P1006,South,58,28.62,10.43
P1013,East,86,285.19,19.84
P1019,East,49,83.53,27.72
P1008,South,180,64.48,13.93
P1002,South,170,174.23,37.47
P1001,South,70,50.44,1.57
P1015,North,15,51.61,16.72
P1001,West,54,159.15,38.7
P1005,North,188,489.86,21.92
P1016,North,101,91.79,16.94
P1019,East,8,13.49,22.74
P1004,South,53,382.87,23.04
P1003,West,60,404.42,29.27
P1017,East,108,176.42,5.11
P1017,North,5,235.01,10.0
P1012,South,103,326.64,23.22
P1014,East,196,28.79,34.68
P1006,South,6,474.83,22.47
P1003,East,109,443.91,9.54
P1009,South,116,134.14,27.19
P1005,North,94,12.58,29.6
P1017,West,47,467.05,9.53
P1014,North,99,253.01,15.11
P1003,West,55,271.99,21.37
P1001,South,168,343.56,19.86
P1020,East,52,309.85,15.58
