product_id,region,units_sold,price_per_unit,discount_percent
P1007,West,88,105.52,14.79
P1020,West,129,471.71,9.69
P1015,South,136,301.44,32.13
P1011,South,63,348.92,18.81
P1008,South,139,440.83,39.34
P1007,South,81,314.06,15.95
P1019,South,136,151.34,32.66
P1011,West,163,57.22,31.93
P1011,South,163,230.98,6.03
P1004,North,33,113.13,20.33
P1008,East,123,211.17,27.83
P1003,South,5,442.22,34.33
P1002,South,41,165.55,13.04
P1012,West,28,65.43,8.81
P1006,South,135,181.37,28.45
P1002,South,72,453.88,32.38
P1001,South,12,139.71,13.95
P1012,West,162,325.61,3.85
P1012,South,33,5.26,37.62
P1017,East,48,179.52,15.9
P1010,West,151,155.87,20.71
P1016,East,62,86.5,33.51
P1015,West,37,269.37,27.03
P1015,South,99,244.99,29.41
P1019,East,172,347.76,8.36
P1012,West,104,138.36,21.66
P1020,North,35,125.84,27.83
P1003,South,193,88.3,9.14
P1005,West,101,113.29,7.0
P1019,North,175,281.26,39.29
P1007,West,131,204.9,20.67
P1009,North,1,37.12,10.43
P1007,South,5,130.69,39.85
P1018,East,142,127.2,38.62
P1004,North,103,349.67,22.33
P1014,West,27,357.57,35.31
P1018,South,137,78.3,7.55
P1009,North,15,498.88,11.15
P1002,West,90,137.06,28.01
P1020,West,42,488.42,33.87
P1015,West,124,208.46,34.25
P1007,North,179,21.36,16.18
P1012,North,63,175.81,35.51
P1008,North,96,319.0,34.04
P1015,East,52,341.95,37.43
P1003,North,96,267.81,31.41
P1014,North,132,226.65,26.76
P1017,North,151,278.68,23.23
P1004,East,143,298.38,14.89
P1018,North,171,45.02,37.61
