product_id,region,units_sold,price_per_unit,discount_percent
P1012,East,129,18.13,26.6
P1004,North,8,94.81,7.01
P1016,West,157,293.61,36.58
P1004,North,55,213.61,16.75
P1005,North,103,446.87,15.33
P1005,West,131,409.63,20.76
P1008,South,32,174.2,1.88
P1010,South,10,133.41,6.65
P1017,West,110,192.95,29.52
P1009,East,162,297.2,3.31
P1019,North,124,137.69,24.13
P1014,West,87,313.95,9.81
P1008,North,55,207.66,15.57
P1009,East,32,278.26,11.55
P1011,North,178,220.88,14.23
P1001,West,135,150.76,28.76
P1014,North,93,474.48,11.88
P1005,South,8,382.98,22.66
P1014,East,65,74.36,19.04
P1004,East,57,434.89,26.55
P1001,East,67,246.28,37.47
P1019,West,187,447.8,29.3
P1008,East,72,400.93,8.6
P1015,South,54,215.48,1.25
P1015,West,67,16.12,10.49
P1009,South,51,138.0,23.8
P1009,North,97,273.11,2.06
P1010,North,92,318.57,19.85
P1020,North,8,132.65,23.87
P1009,North,162,73.98,13.37
P1003,South,35,418.29,30.84
P1020,West,96,492.28,4.26
P1011,West,88,265.22,3.01
P1006,East,78,89.98,29.13
P1002,South,32,139.79,19.82
P1007,North,120,14.1,27.54
P1018,South,46,457.58,17.39
P1002,East,144,63.29,9.86
P1017,East,196,290.38,32.76
P1011,South,165,140.66,31.98
P1012,South,182,279.32,27.79
P1019,South,142,327.45,10.89
P1007,West,55,415.72,23.61
P1020,North,176,107.18,14.44
P1006,South,7,10.44,3.66
P1001,South,74,72.76,36.69
P1017,South,7,450.51,5.47
P1011,East,161,437.58,38.01
P1018,East,151,300.72,17.84
P1017,West,85,302.26,7.41
