product_id,region,units_sold,price_per_unit,discount_percent
P1013,West,153,43.48,26.86
P1019,West,56,487.33,20.81
P1017,North,161,493.17,30.89
P1004,North,166,350.59,20.81
P1012,South,117,270.37,34.09
P1009,West,134,158.22,22.08
P1019,North,58,407.83,22.44
P1012,East,44,343.94,35.07
P1009,East,173,85.5,16.14
P1007,North,160,455.91,5.36
P1014,North,173,412.16,1.15
P1020,West,61,475.15,30.21
P1019,West,47,364.23,24.81
P1015,South,149,308.64,28.16
P1016,West,80,212.03,8.52
P1005,East,118,466.7,5.45
P1003,East,164,433.7,0.58
P1012,North,147,27.38,14.02
P1020,West,20,18.05,23.6
P1004,South,185,191.35,15.69
P1016,East,146,406.22,17.5
P1007,East,47,493.7,36.17
P1013,South,49,79.46,13.93
P1010,South,14,299.09,20.56
P1007,East,143,193.54,31.35
P1014,East,159,485.11,15.86
P1005,South,1,421.85,24.88
P1003,East,117,419.97,34.49
P1011,North,54,237.0,37.98
P1011,North,118,210.34,5.88
P1018,South,3,140.34,37.06
P1015,West,144,32.91,19.68
P1012,South,185,433.04,10.33
P1009,South,12,407.39,18.37
P1010,West,74,499.86,39.2
P1012,West,16,498.34,19.7
P1017,West,102,279.94,13.15
P1006,North,152,385.65,25.34
P1007,East,156,472.66,9.61
P1014,North,117,425.58,3.03
P1013,East,8,127.44,5.16
P1008,North,122,228.02,5.12
P1010,East,92,68.93,6.08
P1009,North,164,477.26,5.55
P1018,West,90,305.06,25.63
P1002,South,136,118.18,7.28
P1005,North,186,337.49,13.83
P1005,East,60,310.97,35.87
P1006,West,178,182.29,18.96
P1019,North,28,61.21,26.7
