product_id,region,units_sold,price_per_unit,discount_percent
P1018,East,70,48.21,21.27
P1019,North,112,255.52,2.66
P1019,North,4,466.35,9.16
P1005,East,94,163.72,21.71
P1018,South,75,298.97,17.26
P1010,South,190,187.77,13.31
P1006,South,62,229.86,29.22
P1001,West,94,276.56,27.75
P1005,North,95,276.72,6.67
P1009,North,152,104.86,35.15
P1012,North,55,343.86,19.82
P1014,West,137,48.49,29.66
P1002,North,131,73.72,22.93
P1017,West,31,6.34,39.91
P1014,South,40,62.76,30.1
P1013,East,36,239.22,28.28
P1009,North,152,305.02,31.14
P1015,North,6,398.17,5.73
P1015,South,66,57.82,8.18
P1011,East,75,426.11,28.56
P1016,West,4,374.26,19.76
P1017,East,79,207.22,30.19
P1004,South,134,466.8,4.12
P1001,South,118,495.51,21.46
P1008,East,113,106.48,15.15
P1017,West,94,192.72,18.28
P1003,West,179,463.59,24.16
P1020,North,62,362.19,20.09
P1015,West,185,28.81,21.59
P1015,East,194,391.85,19.45
P1014,South,79,414.83,16.36
P1014,North,136,376.5,30.88
P1002,North,26,400.77,0.49
P1013,South,179,413.44,23.94
P1014,West,173,97.27,22.62
P1019,South,44,121.67,28.65
P1007,West,133,318.71,23.96
P1003,South,70,454.39,33.07
P1015,East,154,161.52,38.36
P1014,West,118,296.21,13.7
P1011,East,68,343.08,9.09
P1015,North,19,228.71,16.94
P1013,South,20,358.32,11.52
P1018,North,113,450.34,24.6
P1006,North,140,313.93,36.47
P1003,North,47,272.19,5.56
P1019,North,1,222.18,4.03
P1015,South,90,290.86,10.24
P1005,North,142,180.9,29.04
P1010,South,64,198.78,23.72
