product_id,region,units_sold,price_per_unit,discount_percent
P1017,North,142,412.13,17.04
P1011,East,36,70.6,5.23
P1007,East,151,-15.0,35.46
P1014,North,114,461.76,17.99
P1019,East,66,246.1,7.78
P1004,West,105,,14.71
P1006,South,85,,16.57
P1010,South,2,,33.1
P1007,South,193,,29.34
P1013,North,75,,30.77
P1014,East,67,,0.44
P1004,West,180,186.93,16.65
P1008,West,190,38.75,19.25
P1005,North,151,17.78,0.77
P1001,West,154,71.91,10.39
P1004,West,196,481.74,30.41
P1003,West,55,277.02,5.48
P1009,West,6,483.08,21.41
P1008,East,163,219.09,8.61
P1001,West,150,159.35,0.48
P1006,South,171,255.54,9.65
P1009,North,143,222.56,39.03
P1007,East,86,57.3,32.06
P1004,West,60,322.21,38.38
P1013,East,101,111.94,19.51
P1017,West,12,311.7,4.39
P1002,South,49,326.85,21.92
P1005,North,42,80.25,18.18
P1012,West,166,35.37,33.77
P1008,West,82,391.48,3.92
P1006,West,173,232.6,19.53
P1008,West,35,33.79,6.0
P1018,North,158,497.46,12.99
P1003,North,158,33.6,29.49
P1012,South,134,349.04,19.04
P1003,North,67,491.92,15.04
P1006,West,80,123.39,15.78
P1002,South,7,75.41,18.38
P1012,South,180,65.09,31.4
P1002,South,14,155.12,35.68
P1006,West,73,55.02,38.21
P1017,East,143,347.62,31.48
P1003,West,149,35.83,12.62
P1002,North,163,257.16,27.53
P1020,North,66,498.36,17.5
P1008,West,91,407.92,10.19
P1012,West,130,309.53,33.63
P1004,South,163,156.6,1.54
P1005,West,20,313.83,36.07
P1013,South,10,265.89,18.46
