product_id,region,units_sold,price_per_unit,discount_percent
P1016,South,142,178.31,34.69
P1019,North,120,33.63,28.33
P1008,West,158,484.71,33.48
P1017,North,68,442.47,27.9
P1005,South,146,464.24,27.21
P1016,West,190,497.48,24.74
P1006,South,37,91.08,30.11
P1008,South,153,201.14,6.34
P1018,East,176,380.33,35.23
P1012,East,193,349.53,34.87
P1015,South,181,81.18,1.17
P1009,South,73,408.84,33.03
P1013,South,143,116.1,5.15
P1015,East,49,115.79,13.4
P1010,East,121,270.8,29.74
P1016,North,88,298.51,6.43
P1007,North,196,292.14,32.72
P1017,South,140,50.29,33.29
P1007,West,187,439.34,20.3
P1014,West,37,136.47,0.26
P1015,East,61,69.11,11.48
P1007,East,171,444.93,24.68
P1009,East,124,478.05,39.25
P1019,South,198,431.75,25.27
P1016,West,39,405.71,10.39
P1008,North,184,329.34,25.36
P1018,South,63,277.67,21.6
P1018,North,46,48.06,31.19
P1020,North,88,207.18,4.28
P1007,South,11,189.48,30.44
P1003,North,62,133.58,21.65
P1018,West,77,363.09,38.52
P1010,North,153,250.46,13.67
P1007,West,199,45.12,25.3
P1017,West,52,113.99,37.28
P1014,West,4,343.21,4.1
P1003,East,59,42.68,37.49
P1012,North,72,426.35,27.52
P1013,South,148,250.1,2.71
P1002,South,93,242.89,12.04
P1003,North,63,298.24,28.33
P1005,East,54,413.22,2.69
P1011,East,117,177.17,23.29
P1008,West,110,340.62,13.84
P1012,North,74,285.04,24.84
P1007,North,107,137.18,1.83
P1015,South,57,439.92,34.86
P1017,North,169,399.73,38.94
P1004,East,3,330.93,38.76
P1013,North,120,426.04,29.99
