product_id,region,units_sold,price_per_unit,discount_percent
P1009,South,31,-99.99,28.36
P1001,West,-10,189.76,4.28
,East,53,117.5,22.69
P1020,,48,41.23,10.26
P1008,South,69,303.71,150.0
P1011,North,105,335.77,19.34
P1012,West,90,311.65,32.24
P1001,West,190,234.43,22.01
P1020,South,194,192.99,1.74
P1011,South,192,432.35,25.33
P1005,West,198,261.95,38.06
P1015,East,63,242.2,24.06
P1005,West,73,17.69,32.77
P1012,South,161,173.92,35.37
P1005,North,169,193.2,9.12
P1017,North,89,202.42,8.48
P1017,East,176,292.19,24.44
P1012,West,13,269.13,16.44
P1015,North,73,305.91,33.59
P1015,West,77,383.62,36.0
P1006,South,159,407.43,14.14
P1012,North,68,360.47,9.47
P1020,East,98,477.98,31.22
P1018,South,125,14.03,10.99
P1014,East,102,101.91,32.9
P1002,South,132,8.74,16.95
P1009,North,102,325.5,26.7
P1005,East,19,449.53,3.82
P1020,East,198,125.52,24.95
P1001,South,82,463.88,18.07
P1003,East,141,34.83,23.46
P1006,South,23,467.55,6.72
P1005,South,83,179.05,29.47
P1005,South,109,55.2,34.51
P1001,South,75,245.51,8.67
P1017,North,129,132.1,3.83
P1019,South,88,146.01,0.95
P1014,West,54,157.11,25.68
P1012,East,199,402.5,24.28
P1010,West,89,271.88,21.87
P1020,North,143,159.1,9.28
P1018,West,65,307.12,15.64
P1011,East,76,359.49,23.78
P1002,West,199,139.95,19.87
P1018,North,143,209.71,39.51
P1007,South,149,65.33,5.46
P1015,West,147,94.67,27.81
P1011,North,60,342.15,16.17
P1018,North,93,94.81,17.13
P1012,East,161,264.96,28.7
